"Contact Form","Yhteydenottolomake"
"New Request","Uusi pyyntö"
"Password Reset","Salasanan palautus"
"Go to My Account","Minun tilini"
"New Account Confirmation","Tilin luominen onnistui"
"Account Confirmed","Tili on vahvistettu"
"Set a New Password","Vaihda salasanaa"
"Password Changed","Salasana vaihdettu"
"Subscription Confirmation","Uutiskirjetilaus vahvistettu"
"Confirm My Subscription","VAHVISTA UUTISKIRJETILAUSTANI"
"Go to Store","Verkkokauppaan"
"Credit Memo Update","Hyvityslasku on päivitetty"
"for Order","tilaukselle"
"Sku","Tuotenro"
"Order Update","Tilaus on päivitetty"
"Shipment Update","Toimitus on päivitetty"
"Shared product","Jaettu tuote"
"Shared Wishlist","Jaettu toivelista"
"View all wishlist Items","Näytä kaikki toivelistan tuotteet"
"Thank you!","Kiitos!"
"Product Stock Alert","Tuotteen varastoilmoitus"