"Accepted Consents","Accepterade Samtycken"
"Client's Requests","Kundens Förfrågningar"
"A total of %1 record(s) have been canceled.","Totalt %1 post(er) har avbrutits."
"A total of %1 record(s) have been skipped","Totalt %1 post(er) har hoppat över"
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) har raderats."
"A total of %1 record(s) have been processed.","Totalt %1 post(er) har bearbetats."
"This item no longer exists.","Detta objekt finns inte längre."
"Requested item was skipped.","Begärt objekt hoppades över."
"Request was successfully processed.","Förfrågan bearbetades framgångsrikt."
"Request processing was failed.","Bearbetning av förfrågan misslyckades."
"Privacy Tools","Integritetsverktyg"
"Invalid Form Key. Please refresh the page.","Ogiltig formulärnyckel. Vänligen uppdatera sidan."
"Please accept all required checkboxes","Vänligen godkänn alla nödvändiga kryssrutor"
Goodbye!, Adjö!
"Export Data","Exportera Data"
"Delete Data","Radera Data"
"View Privacy Tools","Visa Integritetsverktyg"
Running,Körning
Processed,Bearbetad
Failed,Misslyckades
"Unsupported request type: '%1'","Ej stödd förfrågningstyp: '%1'"
label,etikett
value,värde
"Can't remove data. Incompleted orders found: %1","Kan inte ta bort data. Ofullständiga beställningar hittades: %1"
"Attempt to add an invalid object","Försök att lägga till ett ogiltigt objekt"
"Please accept all consents.","Vänligen godkänn alla samtycken."
Guest,Gäst
"Open Customer Page","Öppna Kundsidan"
"Here you can view the consents you have given.","Här kan du se de samtycken du har gett."
"To use this website, you accepted our Privacy Policy.","För att använda denna webbplats har du accepterat vår integritetspolicy."
"If you wish to withdraw your acceptance, please use the ""Delete My Data"" button below.","Om du vill dra tillbaka ditt godkännande, använd knappen ""Radera Mina Data"" nedan."
"Delete Account","Radera Konto"
"Once you delete your data, there is no going back. Please be certain.","När du raderar dina data finns ingen återvändo. Var säker."
"Delete My Data","Radera Mina Data"
"Are you absolutely sure?","Är du helt säker?"
"Unexpected bad things will happen if you don’t read this!","Oväntade dåliga saker kommer att hända om du inte läser detta!"
"This action cannot be undone.","Denna åtgärd kan inte ångras."
"This will permanently delete your orders, comments, questions, reviews, and other associations with your account.","Detta kommer att permanent radera dina beställningar, kommentarer, frågor, recensioner och andra kopplingar till ditt konto."
"Once you press ""Delete My Data"" button, <strong>you will be logged out, and will never be able to login into this account.</strong>","När du trycker på knappen ""Radera Mina Data"", <strong>kommer du att loggas ut, och kommer aldrig att kunna logga in på detta konto igen.</strong>"
"I have read the text above and want to erase all of my data","Jag har läst texten ovan och vill radera alla mina data"
"Your data is queued for automatic deletion and nobody can stop this.","Dina data är köade för automatisk radering och ingen kan stoppa detta."
"It was a great time, though.","Det var dock en fantastisk tid."
"Yes, Delete My Data","Ja, Radera Mina Data"
"Personal Data Consents","Samtycken för Personuppgifter"
"Deletion Requests","Raderingsförfrågningar"
"Anonymized data placeholder","Platshållare för anonymiserade data"
"Automate request processing","Automatisera bearbetning av förfrågningar"
"Days to wait","Dagar att vänta"
Contacts,Kontakter
"Show in Forms","Visa i Formulär"
"Custom Consent 1","Anpassat Samtycke 1"
"Custom Consent 2","Anpassat Samtycke 2"
"Custom Consent 3","Anpassat Samtycke 3"
"Personal Data","Personuppgifter"
"Privacy Policy","Integritetspolicy"
"Client's Identity","Kundens Identitet"
"Customer Name","Kundnamn"
"Form ID","Formulärs-ID"
Consent,Samtycke
"Updated At","Uppdaterad"
"Process requests","Bearbeta förfrågningar"
"Cancel requests","Avbryt förfrågningar"
"Cancel requests?","Avbryta förfrågningar?"
"Are you sure you want to cancel selected requests?","Är du säker på att du vill avbryta valda förfrågningar?"
"Delete requests","Radera förfrågningar"
"Delete requests?","Radera förfrågningar?"
"Are you sure you want to delete selected requests?","Är du säker på att du vill radera valda förfrågningar?"
"Request Type","Förfrågningstyp"
"Created At","Skapad"
"Executed At","Genomförd"
"Cookie Consents","Samtycken för Cookies"
"Cookie Bar","Cookie-fält"
"Cookie Settings Page","Sida för Cookie-inställningar"
"To override built-in page, use an URL of existing CMS page","För att ersätta inbyggd sida, använd en URL till befintlig CMS-sida"
"Cookie Settings","Cookie-inställningar"
"This group is required.","Denna grupp är obligatorisk."
"Saved","Sparad"
"Saving..","Sparar.."
"Show Cookies","Visa Cookies"
"Hide Cookies","Dölj Cookies"
"View Built-In Cookies","Visa Inbyggda Cookies"
"View Cookie Groups","Visa Cookiegrupper"
"Register New Cookie","Registrera Ny Cookie"
"Cookie Groups","Cookiegrupper"
"Built-in Cookies","Inbyggda Cookies"
"Add New Group","Lägg Till Ny Grupp"
"Allow All & Save","Tillåt Alla & Spara"
"Accept & Save","Acceptera & Spara"
"Cookie Wall Mode","Cookieväggläge"
"Cover site content with overlay until client will accept the consent","Täck webbplatsinnehåll med överlägg tills kunden accepterar samtycket"